x,NC,CS,OC
-0.0188,,-0.26,
-1.87905e-14,2.01,2.43,2.12
0.1,23.28,16.74,17.47
0.2,44.06,31.05,32.89
0.3,64,45.38,48.43
0.4,82.89,59.71,64.16
0.5,100.7,74.07,80.12
0.6,117.43,88.46,96.36
0.7,133.16,102.87,112.92
0.8,147.99,117.33,129.82
0.9,162.02,131.82,147.1
1,175.32,146.38,164.77
1.1,187.98,161.01,182.85
1.2,200.09,175.71,201.34
1.3,211.73,190.51,220.16
1.4,222.96,205.32,239.22
1.5,233.82,220.05,258.42
1.6,244.36,234.58,277.68
1.7,254.6,248.8,296.95
1.8,264.59,262.61,316.14
1.9,274.33,275.93,335.2
2,283.86,288.72,354.06
2.1,293.19,300.96,372.67
2.2,302.34,312.66,390.97
2.3,311.32,323.83,408.89
2.4,320.14,334.54,426.39
2.5,328.81,344.81,443.39
2.6,337.34,354.67,459.85
2.7,345.75,364.14,475.66
2.8,354.04,373.25,490.77
2.9,362.21,382.01,505.09
3,370.27,390.43,518.57
3.1,378.24,398.51,531.15
3.2,386.11,406.27,542.78
3.3,393.88,413.71,553.43
3.4,401.57,420.84,563.06
3.5,409.18,427.65,571.65
3.6,416.72,434.16,579.19
3.7,424.18,440.35,585.67
3.8,431.57,446.25,591.08
3.9,438.89,451.87,595.44
4,446.16,457.23,598.75
4.1,453.35,462.35,601.05
4.2,460.49,467.25,602.41
4.3,467.58,471.94,602.97
4.4,474.6,476.44,602.87
4.5,481.57,480.77,602.25
4.6,488.49,484.95,601.23
4.7,495.36,488.98,599.91
4.8,502.17,492.88,598.36
4.9,508.93,496.67,596.64
5,515.65,500.36,594.81
5.1,522.31,503.95,592.89
5.2,528.93,507.46,590.92
5.3,535.5,510.9,588.92
5.4,542.02,514.28,586.9
5.5,548.49,517.6,584.88
5.6,554.91,520.87,582.87
5.7,561.29,524.09,580.87
5.8,567.62,527.26,578.88
5.9,573.9,530.39,576.92
6,580.13,533.48,574.99
6.1,586.32,536.51,573.09
6.2,592.46,539.51,571.22
6.3,598.54,542.46,569.38
6.4,604.58,545.36,567.57
6.5,610.57,548.22,565.8
6.6,616.51,551.04,564.06
6.7,622.39,553.81,562.35
6.8,628.22,556.54,560.68
6.9,634,559.23,559.04
7,639.73,561.87,557.44
7.1,645.39,564.46,555.87
7.2,651.01,567.01,554.33
7.3,656.56,569.52,552.82
7.4,662.06,571.98,551.35
7.5,667.5,574.39,549.9
7.6,672.88,576.76,548.47
7.7,678.2,579.08,547.08
7.8,683.47,581.35,545.7
7.9,688.68,583.58,544.34
8,693.83,585.76,543.01
8.1,698.92,587.88,541.69
8.2,703.97,589.96,540.39
8.3,708.95,591.99,539.11
8.4,713.88,593.97,537.85
8.5,718.76,595.91,536.6
8.6,723.59,597.79,535.36
8.7,728.37,599.64,534.14
8.8,733.1,601.45,532.93
8.9,737.78,603.21,531.74
9,742.42,604.95,530.56
9.1,747.02,606.64,529.39
9.2,751.57,608.31,528.23
9.3,756.08,609.95,527.08
9.4,760.55,611.56,525.94
9.5,764.98,613.14,524.82
9.6,769.37,614.7,523.7
9.7,773.73,616.24,522.59
9.8,778.06,617.76,521.49
9.9,782.36,619.27,520.41
10,786.62,620.75,519.33
10.1,790.86,622.22,518.26
10.2,795.07,623.68,517.19
10.3,799.25,625.13,516.14
10.4,803.41,626.57,515.09
10.5,807.54,628,514.05
10.6,811.65,629.43,513.02
10.7,815.74,630.84,512
10.8,819.81,632.26,510.98
10.9,823.86,633.66,509.97
11,827.89,635.07,508.97
11.1,831.9,636.48,507.97
11.2,835.89,637.88,506.98
11.3,839.87,639.28,506
11.4,843.83,640.69,505.03
11.5,847.76,642.1,504.06
11.6,851.68,643.51,503.09
11.7,855.59,644.92,502.13
11.8,859.47,646.33,501.18
11.9,863.34,647.75,500.24
12,867.18,649.17,499.3
12.1,871.01,650.59,498.37
12.2,874.83,652,497.44
12.3,878.62,653.42,496.51
12.4,882.4,654.84,495.6
12.5,886.15,656.25,494.69
12.6,889.9,657.66,493.78
12.7,893.62,659.07,492.88
12.8,897.32,660.47,491.98
12.9,901.01,661.88,491.09
13,904.68,663.27,490.21
13.1,908.33,664.66,489.33
13.2,911.97,666.05,488.46
13.3,915.58,667.43,487.59
13.4,919.18,668.81,486.72
13.5,922.76,670.18,485.86
13.6,926.33,671.54,485.01
13.7,929.87,672.9,484.16
13.8,933.4,674.25,483.32
13.9,936.9,675.59,482.48
14,940.39,676.93,481.64
14.1,943.87,678.26,480.82
14.2,947.32,679.58,479.99
14.3,950.75,680.89,479.17
14.4,954.17,682.2,478.36
14.5,957.57,683.49,477.55
14.6,960.95,684.78,476.74
14.7,964.31,686.06,475.95
14.8,967.65,687.33,475.15
14.9,970.97,688.59,474.36
15,974.27,689.84,473.58
15.1,977.56,691.09,472.8
15.2,980.82,692.32,472.03
15.3,984.07,693.54,471.26
15.4,987.29,694.76,470.49
15.5,990.5,695.96,469.74
15.6,993.68,697.16,468.98
15.7,996.85,698.34,468.23
15.8,1000,699.51,467.49
15.9,1003.12,700.68,466.76
16,1006.23,701.83,466.03
16.1,1009.31,702.97,465.3
16.2,1012.37,704.11,464.58
16.3,1015.42,705.23,463.87
16.4,1018.44,706.34,463.16
16.5,1021.44,707.44,462.46
16.6,1024.42,708.53,461.77
16.7,1027.38,709.61,461.08
16.8,1030.31,710.68,460.4
16.9,1033.23,711.73,459.72
17,1036.12,712.78,459.05
17.1,1038.99,713.82,458.39
17.2,1041.84,714.84,457.74
17.3,1044.67,715.86,457.09
17.4,1047.48,716.86,456.44
17.5,1050.26,717.86,455.81
17.6,1053.03,718.85,455.18
17.7,1055.77,719.82,454.56
17.8,1058.49,720.79,453.95
17.9,1061.19,721.75,453.34
18,1063.87,722.7,452.74
18.1,1066.53,723.64,452.14
18.2,1069.17,724.57,451.56
18.3,1071.78,725.5,450.98
18.4,1074.38,726.41,450.41
18.5,1076.95,727.32,449.84
18.6,1079.51,728.22,449.28
18.7,1082.04,729.11,448.73
18.8,1084.56,729.99,448.19
18.9,1087.05,730.86,447.65
19,1089.52,731.73,447.12
19.1,1091.97,732.58,446.6
19.2,1094.41,733.43,446.09
19.3,1096.82,734.27,445.58
19.4,1099.21,735.11,445.08
19.5,1101.59,735.94,444.58
19.6,1103.94,736.75,444.09
19.7,1106.28,737.57,443.61
19.8,1108.59,738.37,443.14
19.9,1110.89,739.17,442.67
20,1113.17,739.96,442.21
20.1,1115.43,740.74,441.75
20.2,1117.67,741.52,441.31
20.3,1119.89,742.29,440.86
20.4,1122.09,743.05,440.43
20.5,1124.28,743.81,440
20.6,1126.44,744.56,439.57
20.7,1128.59,745.3,439.16
20.8,1130.73,746.03,438.74
20.9,1132.84,746.76,438.34
21,1134.94,747.49,437.93
21.1,1137.02,748.2,437.54
21.2,1139.08,748.92,437.15
21.3,1141.13,749.62,436.76
21.4,1143.15,750.32,436.38
21.5,1145.17,751.01,436.01
21.6,1147.16,751.7,435.64
21.7,1149.14,752.38,435.27
21.8,1151.11,753.05,434.91
21.9,1153.05,753.72,434.55
22,1154.99,754.38,434.2
22.1,1156.9,755.04,433.85
22.2,1158.8,755.69,433.51
22.3,1160.69,756.33,433.17
22.4,1162.56,756.97,432.83
22.5,1164.42,757.61,432.5
22.6,1166.26,758.24,432.17
22.7,1168.08,758.86,431.85
22.8,1169.89,759.48,431.53
22.9,1171.69,760.09,431.21
23,1173.47,760.7,430.89
23.1,1175.24,761.3,430.58
23.2,1177,761.9,430.27
23.3,1178.74,762.49,429.97
23.4,1180.47,763.08,429.66
23.5,1182.18,763.66,429.36
23.6,1183.88,764.23,429.07
23.7,1185.57,764.8,428.77
23.8,1187.25,765.37,428.48
23.9,1188.91,765.93,428.19
24,1190.56,766.49,427.9
24.1,1192.2,767.04,427.61
24.2,1193.83,767.59,427.33
24.3,1195.44,768.13,427.05
24.4,1197.05,768.67,426.77
24.5,1198.64,769.2,426.5
24.6,1200.22,769.73,426.22
24.7,1201.79,770.26,425.95
24.8,1203.35,770.78,425.68
24.9,1204.9,771.3,425.41
25,1206.44,771.81,425.15
25.1,1207.97,772.32,424.89
25.2,1209.49,772.82,424.62
25.3,1210.99,773.32,424.36
25.4,1212.49,773.82,424.11
25.5,1213.98,774.31,423.85
25.6,1215.46,774.8,423.6
25.7,1216.93,775.29,423.35
25.8,1218.39,775.77,423.1
25.9,1219.84,776.24,422.85
26,1221.28,776.72,422.6
26.1,1222.72,777.19,422.36
26.2,1224.14,777.66,422.11
26.3,1225.56,778.12,421.87
26.4,1226.96,778.58,421.63
26.5,1228.36,779.03,421.4
26.6,1229.75,779.49,421.16
26.7,1231.13,779.94,420.92
26.8,1232.5,780.38,420.69
26.9,1233.87,780.83,420.46
27,1235.22,781.27,420.23
27.1,1236.57,781.7,420
27.2,1237.91,782.14,419.78
27.3,1239.24,782.57,419.55
27.4,1240.57,782.99,419.33
27.5,1241.88,783.42,419.11
27.6,1243.19,783.84,418.89
27.7,1244.49,784.25,418.67
27.8,1245.78,784.67,418.45
27.9,1247.06,785.08,418.23
28,1248.34,785.49,418.02
28.1,1249.61,785.9,417.81
28.2,1250.87,786.3,417.59
28.3,1252.12,786.7,417.38
28.4,1253.36,787.1,417.18
28.5,1254.6,787.49,416.97
28.6,1255.83,787.89,416.76
28.7,1257.05,788.28,416.56
28.8,1258.27,788.66,416.35
28.9,1259.47,789.05,416.15
29,1260.67,789.43,415.95
29.1,1261.87,789.81,415.75
29.2,1263.05,790.18,415.56
29.3,1264.23,790.56,415.36
29.4,1265.39,790.93,415.16
29.5,1266.56,791.3,414.97
29.6,1267.71,791.67,414.78
29.7,1268.86,792.03,414.59
29.8,1270,792.39,414.4
29.9,1271.13,792.75,414.21
30,1272.25,793.11,414.02
30.1,1273.37,793.46,413.84
30.2,1274.47,793.82,413.65
30.3,1275.57,794.17,413.47
30.4,1276.67,794.51,413.29
30.5,1277.75,794.86,413.11
30.6,1278.83,795.2,412.93
30.7,1279.9,795.54,412.75
30.8,1280.96,795.88,412.57
30.9,1282.01,796.22,412.4
31,1283.06,796.55,412.22
31.1,1284.09,796.89,412.05
31.2,1285.12,797.22,411.88
31.3,1286.14,797.55,411.71
31.4,1287.16,797.87,411.54
31.5,1288.16,798.2,411.37
31.6,1289.15,798.52,411.21
31.7,1290.14,798.84,411.04
31.8,1291.12,799.16,410.88
31.9,1292.09,799.47,410.72
32,1293.05,799.79,410.56
32.1,1294,800.1,410.4
32.2,1294.94,800.41,410.24
32.3,1295.87,800.72,410.08
32.4,1296.8,801.03,409.92
32.5,1297.71,801.33,409.77
32.6,1298.62,801.64,409.62
32.7,1299.51,801.94,409.47
32.8,1300.4,802.24,409.32
32.9,1301.28,802.53,409.17
33,1302.15,802.83,409.02
33.1,1303.01,803.12,408.87
33.2,1303.86,803.41,408.73
33.3,1304.71,803.7,408.58
33.4,1305.54,803.99,408.44
33.5,1306.37,804.27,408.3
33.6,1307.18,804.56,408.16
33.7,1307.99,804.84,408.02
33.8,1308.79,805.12,407.89
33.9,1309.58,805.39,407.75
34,1310.36,805.67,407.62
34.1,1311.14,805.94,407.48
34.2,1311.9,806.22,407.35
34.3,1312.66,806.48,407.22
34.4,1313.41,806.75,407.09
34.5,1314.15,807.02,406.97
34.6,1314.88,807.28,406.84
34.7,1315.61,807.54,406.72
34.8,1316.33,807.81,406.59
34.9,1317.04,808.06,406.47
35,1317.74,808.32,406.35
35.1,1318.43,808.57,406.23
35.2,1319.12,808.83,406.11
35.3,1319.8,809.08,405.99
35.4,1320.48,809.33,405.88
35.5,1321.15,809.57,405.76
35.6,1321.81,809.82,405.65
35.7,1322.47,810.06,405.54
35.8,1323.12,810.3,405.43
35.9,1323.76,810.54,405.32
36,1324.4,810.78,405.21
36.1,1325.04,811.02,405.11
36.2,1325.67,811.25,405
36.3,1326.29,811.48,404.9
36.4,1326.91,811.71,404.79
36.5,1327.53,811.94,404.69
36.6,1328.14,812.17,404.59
36.7,1328.75,812.39,404.49
36.8,1329.35,812.61,404.4
36.9,1329.96,812.84,404.3
37,1330.56,813.05,404.21
37.1,1331.16,813.27,404.11
37.2,1331.75,813.49,404.02
37.3,1332.35,813.7,403.93
37.4,1332.94,813.91,403.84
37.5,1333.54,814.12,403.75
37.6,1334.13,814.33,403.66
37.7,1334.72,814.54,403.57
37.8,1335.32,814.74,403.49
37.9,1335.91,814.94,403.4
38,1336.51,815.15,403.32
38.1,1337.11,815.34,403.24
38.2,1337.71,815.54,403.16
38.3,1338.32,815.74,403.08
38.4,1338.92,815.93,403
38.5,1339.54,816.12,402.92
38.6,1340.15,816.31,402.85
38.7,1340.77,816.5,402.77
38.8,1341.39,816.69,402.7
38.9,1342.01,816.87,402.63
39,1342.64,817.06,402.55
39.1,1343.27,817.24,402.48
39.2,1343.9,817.42,402.41
39.3,1344.53,817.6,402.35
39.4,1345.16,817.77,402.28
39.5,1345.79,817.95,402.21
39.6,1346.42,818.12,402.15
39.7,1347.05,818.29,402.08
39.8,1347.68,818.46,402.02
39.9,1348.31,818.63,401.96
40,1348.94,818.79,401.9
40.1,1349.56,818.96,401.84
40.2,1350.18,819.12,401.78
40.3,1350.8,819.28,401.72
40.4,1351.42,819.44,401.66
40.5,1352.03,819.6,401.61
40.6,1352.64,819.75,401.55
40.7,1353.25,819.91,401.5
40.8,1353.85,820.06,401.44
40.9,1354.44,820.21,401.39
41,1355.03,820.36,401.34
41.1,1355.62,820.51,401.29
41.2,1356.19,820.65,401.24
41.3,1356.76,820.8,401.19
41.4,1357.33,820.94,401.14
41.5,1357.88,821.08,401.1
41.6,1358.43,821.22,401.05
41.7,1358.97,821.36,401
41.8,1359.5,821.5,400.96
41.9,1360.03,821.63,400.92
