x,NC,CS,OC
-0.0047,-0.0015,,
-1.87905e-14,0.0056,,0.0051
0.1,0.1564,0.0659,0.0816
0.2,0.3067,0.1374,0.1603
0.3,0.4559,0.2071,0.2408
0.4,0.6037,0.2745,0.3225
0.5,0.7496,0.3396,0.4049
0.6,0.8933,0.4025,0.4879
0.7,1.0344,0.4636,0.5713
0.8,1.1726,0.523,0.655
0.9,1.3078,0.5811,0.7389
1,1.4398,0.6379,0.8229
1.1,1.5685,0.6937,0.9065
1.2,1.6938,0.7485,0.9892
1.3,1.8156,0.8025,1.0706
1.4,1.9341,0.8559,1.1506
1.5,2.0492,0.9085,1.229
1.6,2.161,0.9605,1.3056
1.7,2.2697,1.0119,1.3802
1.8,2.3758,1.0626,1.4528
1.9,2.4792,1.1128,1.5233
2,2.5804,1.1623,1.5916
2.1,2.6794,1.2113,1.6575
2.2,2.7765,1.2597,1.7211
2.3,2.8717,1.3075,1.7821
2.4,2.9653,1.3548,1.8406
2.5,3.0575,1.4016,1.8965
2.6,3.1482,1.4478,1.9496
2.7,3.2377,1.4936,1.9999
2.8,3.326,1.5388,2.0473
2.9,3.4133,1.5835,2.0917
3,3.4996,1.6277,2.1331
3.1,3.585,1.6715,2.1713
3.2,3.6697,1.7148,2.2062
3.3,3.7535,1.7577,2.2377
3.4,3.8367,1.8,2.2657
3.5,3.9193,1.842,2.2902
3.6,4.0013,1.8835,2.3109
3.7,4.0828,1.9246,2.3278
3.8,4.1638,1.9652,2.3407
3.9,4.2442,2.0054,2.3496
4,4.3241,2.0452,2.3546
4.1,4.4033,2.0846,2.3558
4.2,4.4819,2.1236,2.3534
4.3,4.5598,2.1622,2.3476
4.4,4.6371,2.2004,2.3385
4.5,4.7137,2.2382,2.3263
4.6,4.7896,2.2757,2.311
4.7,4.8648,2.3127,2.2928
4.8,4.9394,2.3494,2.2718
4.9,5.0132,2.3857,2.2482
5,5.0863,2.4217,2.222
5.1,5.1586,2.4573,2.1934
5.2,5.2303,2.4925,2.1623
5.3,5.3013,2.5274,2.1291
5.4,5.3715,2.562,2.0937
5.5,5.4411,2.5963,2.0562
5.6,5.5099,2.6303,2.0168
5.7,5.5781,2.664,1.9755
5.8,5.6455,2.6974,1.9324
5.9,5.7122,2.7306,1.8877
6,5.7783,2.7635,1.8415
6.1,5.8437,2.7962,1.7938
6.2,5.9084,2.8286,1.7448
6.3,5.9724,2.8608,1.6945
6.4,6.0358,2.8928,1.6432
6.5,6.0985,2.9245,1.591
6.6,6.1605,2.956,1.538
6.7,6.2219,2.9873,1.4845
6.8,6.2827,3.0184,1.4306
6.9,6.3428,3.0493,1.3766
7,6.4023,3.08,1.3228
7.1,6.4612,3.1105,1.2695
7.2,6.5194,3.1408,1.2174
7.3,6.5771,3.1709,1.1667
7.4,6.6341,3.2008,1.118
7.5,6.6906,3.2305,1.0715
7.6,6.7465,3.2601,1.0274
7.7,6.8018,3.2895,0.9858
7.8,6.8566,3.3187,0.9467
7.9,6.9108,3.3477,0.9098
8,6.9645,3.3766,0.875
8.1,7.0177,3.4052,0.8421
8.2,7.0704,3.4338,0.8109
8.3,7.1225,3.4621,0.7811
8.4,7.1742,3.4903,0.7526
8.5,7.2254,3.5183,0.7253
8.6,7.276,3.5462,0.699
8.7,7.3263,3.5738,0.6735
8.8,7.376,3.6014,0.6488
8.9,7.4253,3.6287,0.6248
9,7.4742,3.6559,0.6014
9.1,7.5226,3.683,0.5785
9.2,7.5705,3.7099,0.5562
9.3,7.618,3.7366,0.5342
9.4,7.6651,3.7631,0.5127
9.5,7.7118,3.7895,0.4915
9.6,7.7581,3.8157,0.4706
9.7,7.8039,3.8418,0.45
9.8,7.8494,3.8677,0.4296
9.9,7.8944,3.8934,0.4095
10,7.9391,3.919,0.3896
10.1,7.9833,3.9444,0.37
10.2,8.0272,3.9696,0.3505
10.3,8.0707,3.9947,0.3311
10.4,8.1138,4.0196,0.312
10.5,8.1566,4.0443,0.2929
10.6,8.1989,4.0688,0.274
10.7,8.2409,4.0932,0.2552
10.8,8.2826,4.1173,0.2366
10.9,8.3239,4.1413,0.218
11,8.3648,4.1651,0.1996
11.1,8.4054,4.1887,0.1812
11.2,8.4456,4.2121,0.1629
11.3,8.4855,4.2353,0.1447
11.4,8.5251,4.2583,0.1266
11.5,8.5643,4.2811,0.1086
11.6,8.6032,4.3036,0.0906
11.7,8.6418,4.326,0.0728
11.8,8.68,4.3481,0.055
11.9,8.7179,4.37,0.0372
12,8.7555,4.3917,0.0195
12.1,8.7927,4.4131,0.0019
12.2,8.8297,4.4343,-0.0157
12.3,8.8663,4.4553,-0.0331
12.4,8.9026,4.4761,-0.0506
12.5,8.9387,4.4966,-0.068
12.6,8.9744,4.5169,-0.0853
12.7,9.0098,4.5369,-0.1026
12.8,9.0449,4.5567,-0.1198
12.9,9.0797,4.5763,-0.1369
13,9.1142,4.5957,-0.154
13.1,9.1484,4.6148,-0.1711
13.2,9.1823,4.6336,-0.1881
13.3,9.216,4.6523,-0.2051
13.4,9.2493,4.6707,-0.222
13.5,9.2824,4.6889,-0.2388
13.6,9.3152,4.7069,-0.2556
13.7,9.3478,4.7247,-0.2724
13.8,9.3801,4.7422,-0.2891
13.9,9.4121,4.7595,-0.3058
14,9.4439,4.7767,-0.3224
14.1,9.4754,4.7936,-0.339
14.2,9.5067,4.8103,-0.3555
14.3,9.5377,4.8268,-0.372
14.4,9.5685,4.8431,-0.3884
14.5,9.5991,4.8593,-0.4048
14.6,9.6294,4.8752,-0.4211
14.7,9.6596,4.891,-0.4374
14.8,9.6894,4.9066,-0.4537
14.9,9.7191,4.922,-0.4699
15,9.7486,4.9373,-0.486
15.1,9.7778,4.9524,-0.5021
15.2,9.8068,4.9673,-0.5182
15.3,9.8356,4.9821,-0.5342
15.4,9.8642,4.9967,-0.5502
15.5,9.8926,5.0112,-0.5661
15.6,9.9208,5.0256,-0.582
15.7,9.9488,5.0398,-0.5979
15.8,9.9766,5.0539,-0.6137
15.9,10.0042,5.0679,-0.6294
16,10.0316,5.0817,-0.6451
16.1,10.0588,5.0954,-0.6608
16.2,10.0859,5.1091,-0.6764
16.3,10.1127,5.1226,-0.692
16.4,10.1393,5.136,-0.7075
16.5,10.1658,5.1493,-0.723
16.6,10.192,5.1625,-0.7384
16.7,10.2181,5.1756,-0.7538
16.8,10.244,5.1886,-0.7691
16.9,10.2697,5.2016,-0.7844
17,10.2953,5.2144,-0.7996
17.1,10.3206,5.2272,-0.8148
17.2,10.3458,5.2398,-0.8299
17.3,10.3708,5.2524,-0.845
17.4,10.3956,5.265,-0.86
17.5,10.4203,5.2774,-0.875
17.6,10.4448,5.2898,-0.89
17.7,10.4691,5.302,-0.9048
17.8,10.4932,5.3143,-0.9197
17.9,10.5171,5.3264,-0.9344
18,10.5409,5.3385,-0.9492
18.1,10.5645,5.3505,-0.9638
18.2,10.588,5.3624,-0.9784
18.3,10.6112,5.3743,-0.993
18.4,10.6344,5.3861,-1.0075
18.5,10.6573,5.3979,-1.0219
18.6,10.68,5.4095,-1.0363
18.7,10.7026,5.4211,-1.0506
18.8,10.7251,5.4327,-1.0649
18.9,10.7473,5.4442,-1.0791
19,10.7694,5.4556,-1.0933
19.1,10.7913,5.467,-1.1074
19.2,10.8131,5.4783,-1.1214
19.3,10.8347,5.4896,-1.1353
19.4,10.8561,5.5008,-1.1492
19.5,10.8774,5.5119,-1.1631
19.6,10.8985,5.523,-1.1768
19.7,10.9194,5.534,-1.1905
19.8,10.9401,5.545,-1.2041
19.9,10.9607,5.5559,-1.2177
20,10.9811,5.5668,-1.2312
20.1,11.0013,5.5776,-1.2446
20.2,11.0214,5.5883,-1.2579
20.3,11.0413,5.599,-1.2712
20.4,11.0611,5.6097,-1.2843
20.5,11.0806,5.6203,-1.2974
20.6,11.1,5.6308,-1.3105
20.7,11.1192,5.6413,-1.3234
20.8,11.1383,5.6517,-1.3362
20.9,11.1571,5.6621,-1.349
21,11.1758,5.6724,-1.3617
21.1,11.1944,5.6827,-1.3742
21.2,11.2127,5.693,-1.3867
21.3,11.2309,5.7031,-1.3991
21.4,11.2489,5.7132,-1.4114
21.5,11.2668,5.7233,-1.4236
21.6,11.2845,5.7333,-1.4357
21.7,11.302,5.7433,-1.4476
21.8,11.3194,5.7532,-1.4595
21.9,11.3366,5.7631,-1.4713
22,11.3536,5.7729,-1.4829
22.1,11.3705,5.7826,-1.4944
22.2,11.3872,5.7923,-1.5058
22.3,11.4038,5.802,-1.5171
22.4,11.4202,5.8116,-1.5282
22.5,11.4364,5.8211,-1.5392
22.6,11.4525,5.8306,-1.5501
22.7,11.4684,5.8401,-1.5609
22.8,11.4842,5.8494,-1.5715
22.9,11.4999,5.8588,-1.582
23,11.5153,5.868,-1.5924
23.1,11.5307,5.8773,-1.6027
23.2,11.5459,5.8864,-1.6128
23.3,11.5609,5.8955,-1.6227
23.4,11.5758,5.9046,-1.6326
23.5,11.5905,5.9136,-1.6423
23.6,11.6051,5.9225,-1.6518
23.7,11.6196,5.9314,-1.6613
23.8,11.6339,5.9402,-1.6705
23.9,11.6481,5.949,-1.6797
24,11.6622,5.9577,-1.6887
24.1,11.6761,5.9663,-1.6976
24.2,11.6899,5.9749,-1.7063
24.3,11.7035,5.9834,-1.7148
24.4,11.717,5.9919,-1.7233
24.5,11.7304,6.0003,-1.7316
24.6,11.7437,6.0086,-1.7397
24.7,11.7569,6.0169,-1.7477
24.8,11.7699,6.0251,-1.7556
24.9,11.7828,6.0333,-1.7633
25,11.7955,6.0414,-1.7708
25.1,11.8082,6.0494,-1.7783
25.2,11.8208,6.0574,-1.7855
25.3,11.8332,6.0653,-1.7927
25.4,11.8455,6.0732,-1.7996
25.5,11.8577,6.081,-1.8065
25.6,11.8698,6.0887,-1.8132
25.7,11.8818,6.0963,-1.8197
25.8,11.8937,6.1039,-1.8262
25.9,11.9055,6.1115,-1.8324
26,11.9172,6.119,-1.8386
26.1,11.9288,6.1264,-1.8446
26.2,11.9402,6.1337,-1.8504
26.3,11.9516,6.141,-1.8562
26.4,11.9629,6.1482,-1.8618
26.5,11.9742,6.1554,-1.8672
26.6,11.9853,6.1625,-1.8726
26.7,11.9963,6.1695,-1.8778
26.8,12.0073,6.1765,-1.8829
26.9,12.0182,6.1834,-1.8878
27,12.029,6.1902,-1.8927
27.1,12.0397,6.197,-1.8974
27.2,12.0503,6.2037,-1.902
27.3,12.0609,6.2104,-1.9066
27.4,12.0714,6.217,-1.911
27.5,12.0818,6.2235,-1.9153
27.6,12.0922,6.23,-1.9195
27.7,12.1025,6.2364,-1.9236
27.8,12.1128,6.2427,-1.9276
27.9,12.1229,6.249,-1.9316
28,12.1331,6.2552,-1.9354
28.1,12.1431,6.2613,-1.9392
28.2,12.1531,6.2674,-1.9429
28.3,12.1631,6.2734,-1.9465
28.4,12.1729,6.2794,-1.95
28.5,12.1828,6.2852,-1.9535
28.6,12.1925,6.2911,-1.957
28.7,12.2022,6.2968,-1.9604
28.8,12.2118,6.3025,-1.9637
28.9,12.2214,6.3082,-1.967
29,12.2309,6.3137,-1.9702
29.1,12.2403,6.3192,-1.9735
29.2,12.2496,6.3247,-1.9766
29.3,12.2589,6.3301,-1.9798
29.4,12.2682,6.3354,-1.9829
29.5,12.2773,6.3406,-1.9861
29.6,12.2864,6.3458,-1.9892
29.7,12.2955,6.3509,-1.9923
29.8,12.3044,6.356,-1.9954
29.9,12.3133,6.361,-1.9985
30,12.3222,6.366,-2.0016
30.1,12.3309,6.3709,-2.0047
30.2,12.3396,6.3757,-2.0078
30.3,12.3483,6.3804,-2.011
30.4,12.3568,6.3851,-2.0141
30.5,12.3653,6.3898,-2.0173
30.6,12.3738,6.3944,-2.0205
30.7,12.3822,6.3989,-2.0238
30.8,12.3905,6.4033,-2.0271
30.9,12.3987,6.4077,-2.0304
31,12.4069,6.4121,-2.0337
31.1,12.415,6.4164,-2.0371
31.2,12.423,6.4206,-2.0405
31.3,12.431,6.4247,-2.0439
31.4,12.439,6.4289,-2.0473
31.5,12.4468,6.4329,-2.0508
31.6,12.4546,6.4369,-2.0543
31.7,12.4623,6.4409,-2.0578
31.8,12.47,6.4448,-2.0613
31.9,12.4776,6.4486,-2.0648
32,12.4852,6.4524,-2.0684
32.1,12.4926,6.4562,-2.072
32.2,12.5001,6.4599,-2.0755
32.3,12.5074,6.4635,-2.0791
32.4,12.5147,6.4671,-2.0827
32.5,12.522,6.4707,-2.0864
32.6,12.5291,6.4742,-2.09
32.7,12.5363,6.4777,-2.0936
32.8,12.5433,6.4811,-2.0973
