x,OC,CS,NC
-0.0158,,,1093.06
-0.01,,,1092.71
-1.69E-13,300.33,,1092.11
0.01,300.34,,1091.51
0.02,300.34,,1090.91
0.03,300.35,651.96,1090.3
0.04,300.35,651.96,1089.7
0.05,300.35,651.96,1089.09
0.06,300.36,651.95,1088.48
0.07,300.36,651.95,1087.86
0.08,300.37,651.95,1087.25
0.09,300.37,651.95,1086.62
0.1,300.38,651.94,1085.99
0.11,300.38,651.94,1085.36
0.12,300.38,651.94,1084.72
0.13,300.39,651.93,1084.08
0.14,300.39,651.93,1083.42
0.15,300.39,651.93,1082.76
0.16,300.4,651.92,1082.1
0.17,300.4,651.92,1081.42
0.18,300.41,651.92,1080.73
0.19,300.41,651.91,1080.04
0.2,300.41,651.91,1079.33
0.21,300.42,651.91,1078.61
0.22,300.42,651.91,1077.88
0.23,300.42,651.9,1077.14
0.24,300.43,651.9,1076.38
0.25,300.43,651.9,1075.61
0.26,300.43,651.89,1074.82
0.27,300.43,651.89,1074.01
0.28,300.44,651.89,1073.19
0.29,300.44,651.88,1072.35
0.3,300.44,651.88,1071.49
0.31,300.44,651.88,1070.61
0.32,300.45,651.87,1069.7
0.33,300.45,651.87,1068.77
0.34,300.45,651.87,1067.82
0.35,300.45,651.87,1066.83
0.36,300.45,651.86,1065.82
0.37,300.46,651.86,1064.78
0.38,300.46,651.86,1063.7
0.39,300.46,651.85,1062.59
0.4,300.46,651.85,1061.43
0.41,300.46,651.85,1060.23
0.42,300.46,651.84,1058.99
0.43,300.46,651.84,1057.7
0.44,300.46,651.84,1056.35
0.45,300.47,651.83,1054.95
0.46,300.47,651.83,1053.5
0.47,300.47,651.83,1051.98
0.48,300.47,651.83,1050.41
0.49,300.47,651.82,1048.78
0.5,300.47,651.82,1047.09
0.51,300.47,651.82,1045.34
0.52,300.46,651.81,1043.53
0.53,300.46,651.81,1041.67
0.54,300.46,651.81,1039.74
0.55,300.46,651.8,1037.77
0.56,300.46,651.8,1035.74
0.57,300.46,651.8,1033.67
0.58,300.46,651.79,1031.55
0.59,300.46,651.79,1029.39
0.6,300.45,651.79,1027.19
0.61,300.45,651.79,1024.96
0.62,300.45,651.78,1022.7
0.63,300.45,651.78,1020.42
0.64,300.44,651.78,1018.13
0.65,300.44,651.77,1015.82
0.66,300.44,651.77,1013.51
0.67,300.44,651.77,1011.2
0.68,300.43,651.76,1008.88
0.69,300.43,651.76,1006.58
0.7,300.42,651.76,1004.28
0.71,300.42,651.75,1002
0.72,300.42,651.75,999.74
0.73,300.41,651.75,997.49
0.74,300.41,651.75,995.27
0.75,300.4,651.74,993.07
0.76,300.4,651.74,990.89
0.77,300.39,651.74,988.73
0.78,300.39,651.73,986.58
0.79,300.38,651.73,984.46
