x,OC,CS,NC
0.0134,,0.905,
0.02,,2.905,
0.03,1.388,5.936,3.878
0.04,2.913,8.965,12.095
0.05,4.438,11.992,20.196
0.06,5.964,15.015,28.108
0.07,7.49,18.033,35.772
0.08,9.016,21.047,43.146
0.09,10.544,24.054,50.203
0.1,12.072,27.054,56.932
0.11,13.602,30.047,63.33
0.12,15.133,33.031,69.405
0.13,16.666,36.007,75.169
0.14,18.2,38.974,80.636
0.15,19.736,41.931,85.823
0.16,21.273,44.878,90.747
0.17,22.813,47.816,95.425
0.18,24.355,50.742,99.874
0.19,25.9,53.659,104.115
0.2,27.447,56.565,108.176
0.21,28.996,59.46,112.086
0.22,30.549,62.345,115.865
0.23,32.104,65.219,119.532
0.24,33.663,68.082,123.099
0.25,35.225,70.935,126.581
0.26,36.79,73.778,129.987
0.27,38.359,76.611,133.327
0.28,39.931,79.433,136.61
0.29,41.508,82.245,139.842
0.3,43.088,85.048,143.03
0.31,44.672,87.841,146.181
0.32,46.261,90.625,149.301
0.33,47.854,93.399,152.393
0.34,49.452,96.165,155.465
0.35,51.054,98.922,158.52
0.36,52.661,101.67,161.564
0.37,54.273,104.409,164.6
0.38,55.89,107.141,167.635
0.39,57.513,109.864,170.672
0.4,59.141,112.58,173.716
0.41,60.774,115.288,176.773
0.42,62.412,117.988,179.848
0.43,64.057,120.682,182.946
0.44,65.707,123.368,186.073
0.45,67.363,126.047,189.232
0.46,69.026,128.72,192.42
0.47,70.694,131.385,195.632
0.48,72.369,134.045,198.864
0.49,74.05,136.697,202.112
0.5,75.738,139.344,205.371
0.51,77.432,141.983,208.636
0.52,79.133,144.617,211.901
0.53,80.839,147.244,215.163
0.54,82.55,149.865,218.416
0.55,84.266,152.479,221.655
0.56,85.986,155.088,224.875
0.57,87.71,157.69,228.073
0.58,89.437,160.286,231.245
0.59,91.166,162.876,234.387
0.6,92.898,165.46,237.497
0.61,94.631,168.037,240.571
0.62,96.365,170.609,243.608
0.63,98.1,173.174,246.606
0.64,99.835,175.733,249.564
0.65,101.57,178.286,252.48
0.66,103.304,180.833,255.355
0.67,105.037,183.374,258.187
0.68,106.769,185.908,260.978
0.69,108.498,188.436,263.726
0.7,110.226,190.958,266.432
0.71,111.95,193.474,269.097
0.72,113.672,195.984,271.72
0.73,115.389,198.487,274.303
0.74,117.103,200.984,276.846
0.75,118.813,203.475,279.349
0.76,120.518,205.959,281.812
0.77,122.219,208.437,284.237
0.78,123.914,210.909,286.624
0.79,125.603,213.374,288.972
0.8,127.287,215.833,291.284
0.81,128.965,218.285,293.558
0.82,130.637,220.73,295.797
0.83,132.302,223.169,298
0.84,133.96,225.601,300.168
0.85,135.611,228.026,302.301
0.86,137.255,230.445,304.401
0.87,138.891,232.856,306.467
0.88,140.52,235.261,308.5
0.89,142.141,237.659,310.501
0.9,143.754,240.05,312.47
0.91,145.359,242.434,314.407
0.92,146.955,244.811,316.314
0.93,148.543,247.18,318.19
0.94,150.122,249.542,320.037
0.95,151.692,251.897,321.854
0.96,153.254,254.244,323.643
0.97,154.806,256.584,325.402
0.98,156.35,258.917,327.134
0.99,157.884,261.241,328.838
1,159.408,263.558,330.515
1.01,160.924,265.867,332.166
1.02,162.43,268.168,333.79
1.03,163.926,270.462,335.388
1.04,165.413,272.747,336.961
1.05,166.891,275.024,338.508
1.06,168.359,277.292,340.031
1.07,169.819,279.552,341.529
1.08,171.271,281.804,343.004
1.09,172.715,284.047,344.454
1.1,174.152,286.281,345.882
1.11,175.581,288.506,347.286
1.12,177.003,290.723,348.668
1.13,178.418,292.93,350.027
1.14,179.827,295.128,351.364
1.15,181.23,297.317,352.68
1.16,182.626,299.496,353.975
1.17,184.017,301.665,355.25
1.18,185.403,303.825,356.506
1.19,186.783,305.975,357.742
1.2,188.158,308.114,358.961
1.21,189.528,310.244,360.162
1.22,190.894,312.363,361.346
1.23,192.255,314.472,362.513
1.24,193.612,316.571,363.665
1.25,194.964,318.659,364.801
1.26,196.313,320.738,365.922
1.27,197.659,322.806,367.028
1.28,199,324.864,368.12
1.29,200.339,326.912,369.198
1.3,201.674,328.95,370.263
1.31,203.006,330.978,371.314
1.32,204.335,332.996,372.353
1.33,205.662,335.004,373.379
1.34,206.986,337.001,374.393
1.35,208.307,338.988,375.396
1.36,209.627,340.965,376.386
1.37,210.944,342.932,377.366
1.38,212.26,344.889,378.334
1.39,213.573,346.836,379.292
1.4,214.885,348.772,380.239
1.41,216.195,350.699,381.176
1.42,217.504,352.615,382.103
1.43,218.812,354.52,383.019
1.44,220.119,356.416,383.927
1.45,221.425,358.301,384.825
1.46,222.73,360.175,385.713
1.47,224.034,362.039,386.593
1.48,225.338,363.893,387.464
1.49,226.641,365.736,388.326
1.5,227.944,367.569,389.179
1.51,229.247,369.391,390.025
1.52,230.55,371.203,390.862
1.53,231.854,373.003,391.691
1.54,233.157,374.793,392.512
1.55,234.461,376.572,393.325
1.56,235.765,378.34,394.131
1.57,237.071,380.097,394.93
1.58,238.377,381.843,395.721
1.59,239.684,383.578,396.504
1.6,240.992,385.302,397.281
1.61,242.302,387.014,398.051
1.62,243.613,388.715,398.814
1.63,244.926,390.404,399.57
1.64,246.24,392.082,400.32
1.65,247.556,393.748,401.063
1.66,248.875,395.402,401.8
1.67,250.195,397.044,402.531
1.68,251.519,398.674,403.255
1.69,252.844,400.291,403.974
1.7,254.173,401.896,404.686
1.71,255.504,403.489,405.392
1.72,256.838,405.068,406.093
1.73,258.174,406.635,406.788
1.74,259.514,408.189,407.477
1.75,260.855,409.729,408.161
1.76,262.199,411.256,408.839
1.77,263.546,412.769,409.512
1.78,264.895,414.268,410.18
1.79,266.246,415.753,410.842
1.8,267.598,417.224,411.5
1.81,268.953,418.679,412.152
1.82,270.31,420.12,412.799
1.83,271.669,421.546,413.441
1.84,273.029,422.955,414.078
1.85,274.391,424.349,414.71
1.86,275.754,425.727,415.338
1.87,277.118,427.088,415.96
1.88,278.484,428.432,416.577
1.89,279.851,429.758,417.189
1.9,281.219,431.067,417.795
1.91,282.588,432.357,418.397
1.92,283.958,433.628,418.993
1.93,285.328,434.879,419.584
1.94,286.7,436.11,420.17
1.95,288.071,437.318,420.751
1.96,289.443,438.5,421.326
1.97,290.815,439.655,421.896
1.98,292.188,440.781,422.461
1.99,293.56,441.876,423.021
2,294.933,442.939,423.575
2.01,296.305,443.967,424.124
2.02,297.678,444.961,424.667
2.03,299.049,445.919,425.206
2.04,300.421,446.842,425.739
2.05,301.792,447.729,426.267
2.06,303.162,448.58,426.789
2.07,304.532,449.396,427.306
2.08,305.901,450.177,427.818
2.09,307.269,450.924,428.325
2.1,308.636,451.639,428.827
2.11,310.002,452.321,429.323
2.12,311.367,452.973,429.814
2.13,312.731,453.596,430.3
2.14,314.094,454.191,430.781
2.15,315.455,454.759,431.257
2.16,316.815,455.301,431.728
2.17,318.173,455.819,432.193
2.18,319.53,456.314,432.654
2.19,320.886,456.787,433.109
2.2,322.239,457.24,433.56
2.21,323.591,457.673,434.006
2.22,324.942,458.087,434.447
2.23,326.29,458.484,434.883
2.24,327.637,458.864,435.314
2.25,328.982,459.229,435.74
2.26,330.325,459.579,436.161
2.27,331.666,459.915,436.578
2.28,333.006,460.238,436.99
2.29,334.343,460.549,437.398
2.3,335.678,460.848,437.8
2.31,337.011,461.136,438.199
2.32,338.342,461.413,438.592
2.33,339.67,461.68,438.981
2.34,340.997,461.938,439.366
2.35,342.321,462.187,439.746
2.36,343.644,462.427,440.122
2.37,344.964,462.66,440.494
2.38,346.282,462.885,440.861
2.39,347.597,463.102,441.224
2.4,348.91,463.313,441.583
2.41,350.221,463.518,441.937
2.42,351.528,463.716,442.288
2.43,352.833,463.908,442.634
2.44,354.135,464.095,442.976
2.45,355.433,464.276,443.315
2.46,356.729,464.453,443.649
2.47,358.02,464.624,443.979
2.48,359.308,464.791,444.306
2.49,360.593,464.954,444.628
2.5,361.873,465.113,444.947
2.51,363.149,465.267,445.262
2.52,364.422,465.418,445.573
2.53,365.69,465.565,445.881
2.54,366.954,465.709,446.185
2.55,368.213,465.849,446.485
2.56,369.468,465.986,446.782
2.57,370.718,466.121,447.075
2.58,371.964,466.252,447.365
2.59,373.204,466.38,447.651
2.6,374.44,466.506,447.934
2.61,375.671,466.63,448.214
2.62,376.897,466.751,448.49
2.63,378.117,466.869,448.763
2.64,379.332,466.986,449.033
2.65,380.542,467.1,449.299
2.66,381.746,467.212,449.562
2.67,382.945,467.322,449.823
2.68,384.139,467.431,450.08
2.69,385.326,467.537,450.334
2.7,386.508,467.642,450.585
2.71,387.684,467.745,450.833
2.72,388.855,467.847,451.078
2.73,390.019,467.947,451.32
2.74,391.177,468.046,451.559
2.75,392.329,468.143,451.796
2.76,393.476,468.238,452.03
2.77,394.615,468.333,452.261
2.78,395.749,468.426,452.489
2.79,396.876,468.518,452.716
2.8,397.997,468.609,452.939
2.81,399.112,468.699,453.16
2.82,400.219,468.787,453.379
2.83,401.321,468.875,453.595
2.84,402.416,468.961,453.809
2.85,403.504,469.047,454.021
2.86,404.585,469.132,454.23
2.87,405.66,469.215,454.437
2.88,406.727,469.298,454.642
2.89,407.788,469.38,454.845
2.9,408.842,469.462,455.045
2.91,409.889,469.542,455.244
2.92,410.929,469.622,455.441
2.93,411.962,469.701,455.635
2.94,412.987,469.78,455.828
2.95,414.006,469.857,456.018
2.96,415.017,469.935,456.207
2.97,416.021,470.011,456.394
2.98,417.018,470.087,456.579
2.99,418.007,470.162,456.762
3,418.989,470.237,456.944
3.01,419.963,470.311,457.123
3.02,420.93,470.385,457.301
3.03,421.89,470.458,457.477
3.04,422.842,470.531,457.652
3.05,423.786,470.603,457.824
3.06,424.723,470.675,457.996
3.07,425.652,470.746,458.165
3.08,426.573,470.817,458.333
3.09,427.486,470.888,458.5
3.1,428.392,470.958,458.665
3.11,429.289,471.027,458.828
